DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.17,0.985,922.534,16.29,4.474,0.714,276.767,13.402,0,0,0,0,19.394,0,0,0,0,4.531,13.59,23.065,924.956,923.931,922.859,26.006,26.006,26.006,5.767,5.741,5.714,0.642,0.642,0.642,267.525,267.525,267.525
2017-10-13 12:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.932,18.956,4.701,1.994,206.466,13.66,0,543.686,427.928,287.03,19.516,6.926,178.089,-36.786,0.236,4.526,13.573,23.032,919.458,918.483,917.468,25.978,25.983,25.992,4.477,4.242,4.098,1.731,2.048,2.279,206.645,206.559,204.512
2017-10-13 13:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.734,19.251,5.623,1.097,308.566,13.912,0,496.67,394.421,290.343,20.117,8.643,147.044,-38.961,0.172,4.536,13.602,23.08,919.383,918.403,917.399,26.28,26.249,26.229,5.356,5.049,4.847,0.967,1.172,1.228,308.345,306.512,304.861
2017-10-13 13:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.849,19.437,6.004,0.229,310.735,14.161,0,432.379,356.149,291.652,20.232,6.377,119.856,-38.114,0.12,4.542,13.621,23.111,919.405,918.435,917.424,26.472,26.452,26.445,5.72,5.427,5.254,0.207,0.235,0.232,311.141,300.195,286.799
2017-10-13 14:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.06,18.64,7.219,3.134,44.383,14.353,0,368.97,298.563,294.022,18.004,-8.531,117.809,-22.914,0.277,4.539,13.612,23.1,919.576,918.597,917.582,25.731,25.751,25.757,6.877,6.746,6.654,2.582,3.035,3.302,44.846,46.546,47.475
2017-10-13 14:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,919.873,17.659,8.036,4.091,57.339,14.447,0,291.605,238.616,295.128,16.675,-15.278,93.225,-13.982,0.33,4.529,13.585,23.056,919.506,918.538,917.53,24.783,24.858,24.893,7.713,7.574,7.519,3.233,3.876,4.116,57.807,60.789,62.234
2017-10-13 15:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.13,16.888,7.729,5.103,67.848,14.461,0,208.891,173.392,295.133,15.069,-31.848,75.786,-3.817,0.381,4.518,13.553,23.003,919.543,918.558,917.545,24.12,24.241,24.296,7.47,7.357,7.308,3.914,4.737,5.086,67.996,68.107,68.255
2017-10-13 15:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.26,15.855,7.742,4.898,71.101,14.396,0,124.176,105.33,294.393,13.468,-35.526,41.764,5.819,0.324,4.504,13.512,22.936,919.74,918.763,917.739,23.19,23.375,23.458,7.542,7.457,7.419,3.586,4.335,4.636,71.182,72.242,72.886
2017-10-13 16:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.419,14.799,7.09,3.883,67.82,14.234,0,44.264,39.314,294.959,10.431,-16.928,4.388,23.859,0.103,4.5,13.502,22.924,919.859,918.877,917.865,23.179,23.519,23.7,6.932,6.873,6.817,2.569,2.945,3.032,67.727,64.6,65.123
2017-10-13 16:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.723,13.063,7.382,4.005,78.423,13.951,0,0,0,292.446,8.251,-17.705,-6.233,35.761,0.1,4.48,13.442,22.819,920.102,919.131,918.102,21.549,21.762,21.939,7.621,7.585,7.544,2.681,2.879,2.979,78.574,78.962,78.33
2017-10-13 17:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,920.899,12.867,7.035,2.854,81.802,13.618,0,0,0,293.054,7.11,-8.158,-4.212,40.824,0.05,4.479,13.439,22.813,920.335,919.363,918.353,21.586,21.77,21.93,7.44,7.388,7.325,2.151,2.054,2.088,81.842,82.715,82.758
2017-10-13 17:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.205,12.56,6.928,3.541,241.799,13.275,0,0,0,293.201,7.388,-12.97,-4.733,36.93,0.075,4.471,13.413,22.772,920.698,919.723,918.71,21.121,21.358,21.548,7.197,7.205,7.205,2.496,2.558,2.408,242.015,245.598,248.923
2017-10-13 18:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.377,12.059,6.997,2.99,246.658,12.947,0,0,0,293.234,6.8,-8.692,-4.522,38.558,0.055,4.464,13.392,22.736,920.905,919.939,918.915,20.564,20.8,20.952,7.375,7.399,7.421,2.215,2.291,2.273,246.82,249.812,251.887
2017-10-13 18:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.369,11.905,7.076,3.23,239.627,12.641,0,0,0,293.567,6.877,-10.283,-5.476,36.154,0.064,4.46,13.382,22.719,920.905,919.932,918.924,20.356,20.565,20.729,7.452,7.476,7.512,2.345,2.627,2.778,239.648,245.118,250.787
2017-10-13 19:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.503,11.992,6.926,3.177,233.397,12.351,0,0,0,294.257,6.729,-10.062,-5.108,35.266,0.062,4.462,13.385,22.721,921.036,920.059,919.026,20.507,20.626,20.744,7.299,7.302,7.331,2.32,2.421,2.46,233.33,235.478,240.666
2017-10-13 19:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.677,11.92,6.846,2.447,232.946,12.06,0,0,0,294.792,6.117,-5.941,-3.588,37.274,0.039,4.462,13.384,22.72,921.159,920.182,919.164,20.457,20.602,20.709,7.298,7.301,7.324,1.889,1.906,1.915,233.141,235.448,240.007
2017-10-13 20:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.868,11.75,6.864,1.427,228.24,11.752,0,0,0,294.509,5.431,-2.38,-1.686,39.64,0.019,4.457,13.369,22.694,921.341,920.35,919.464,20.091,20.234,20.354,7.347,7.342,7.345,1.159,1.134,1.141,228.432,231.026,235.703
2017-10-13 20:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,921.995,11.676,6.802,0.842,98.091,11.432,0,0,0,294.181,5.039,-1.168,-0.848,40.089,0.01,4.452,13.356,22.671,921.523,920.528,919.528,19.865,19.972,20.065,7.259,7.252,7.248,0.691,0.671,0.643,96.907,87.967,78.666
2017-10-13 21:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,922.071,11.014,6.832,1.207,86.288,11.124,0,0,0,292.327,4.797,-1.822,-1.415,39.676,0.016,4.443,13.327,22.621,921.626,920.656,919.625,19.202,19.298,19.376,7.327,7.321,7.321,0.984,1.035,1.083,86.115,80.544,72.879
2017-10-13 21:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,922.161,10.924,6.813,0.209,196.446,10.817,0,0,0,291.631,4.309,-0.241,-0.194,40.807,0.003,4.437,13.311,22.595,921.712,920.741,919.709,18.861,18.997,19.107,7.25,7.236,7.221,0.176,0.136,0.031,196.911,193.042,140.326
2017-10-13 22:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,922.262,10.767,6.681,0.898,224.538,10.509,0,0,0,291.407,4.281,-1.26,-0.985,39.054,0.011,4.437,13.312,22.597,921.763,920.784,919.771,18.89,19.047,19.163,7.165,7.158,7.153,0.732,0.633,0.513,225.265,226.379,229.306
2017-10-13 22:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,922.293,10.714,6.629,0.816,225.206,10.224,0,0,0,291.28,4.091,-1.142,-0.898,38.447,0.01,4.436,13.309,22.592,921.798,920.808,919.791,18.834,18.975,19.088,7.116,7.11,7.106,0.674,0.562,0.429,224.886,229.144,236.317
2017-10-13 23:00:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,922.284,10.675,6.602,0.564,221.432,9.938,0,0,0,291.126,3.855,-0.748,-0.598,38.134,0.007,4.435,13.304,22.583,921.791,920.812,919.802,18.749,18.896,19.013,7.082,7.075,7.069,0.469,0.358,0.191,220.732,226.055,230.142
2017-10-13 23:30:00,11.503889,47.249168,924,518286,657,472,47.2511,11.4983,657.4231,471.7852,2,925.8,0.192,0.961,922.319,10.34,6.543,1.075,244.666,9.66,0,0,0,290.61,3.788,-1.616,-1.294,36.812,0.014,4.431,13.293,22.566,921.831,920.861,919.831,18.521,18.681,18.794,7.062,7.06,7.061,0.886,0.803,0.672,243.845,248.811,254.942
