DateTime,time,station,dd,ff,ffam,p,rf,rr,tl,so,pred,cglo,substation
2017-10-13 12:00:00+00:00,2017-10-13 12:00:00+00:00,5701,295.0,4.8,5.0,980.8,55.0,0.0,17.4,600.0,,489.0,
2017-10-13 12:10:00+00:00,2017-10-13 12:10:00+00:00,5701,293.0,4.7,4.9,980.8,55.0,0.0,17.4,600.0,,496.0,
2017-10-13 12:20:00+00:00,2017-10-13 12:20:00+00:00,5701,291.0,3.7,4.2,980.7,54.0,0.0,17.7,600.0,,482.0,
2017-10-13 12:30:00+00:00,2017-10-13 12:30:00+00:00,5701,283.0,2.8,3.1,980.5,54.0,0.0,17.8,600.0,,462.0,
2017-10-13 12:40:00+00:00,2017-10-13 12:40:00+00:00,5701,282.0,3.9,4.4,980.4,53.0,0.0,17.6,600.0,,455.0,
2017-10-13 12:50:00+00:00,2017-10-13 12:50:00+00:00,5701,286.0,3.8,4.1,980.4,54.0,0.0,17.5,600.0,,434.0,
2017-10-13 13:00:00+00:00,2017-10-13 13:00:00+00:00,5701,289.0,3.3,3.5,980.3,55.0,0.0,17.7,600.0,,414.0,
2017-10-13 13:10:00+00:00,2017-10-13 13:10:00+00:00,5701,289.0,4.0,4.4,980.2,54.0,0.0,17.5,600.0,,393.0,
2017-10-13 13:20:00+00:00,2017-10-13 13:20:00+00:00,5701,295.0,4.3,4.5,980.2,55.0,0.0,17.6,600.0,,358.0,
2017-10-13 13:30:00+00:00,2017-10-13 13:30:00+00:00,5701,285.0,3.6,3.9,980.1,56.0,0.0,17.6,600.0,,345.0,
2017-10-13 13:40:00+00:00,2017-10-13 13:40:00+00:00,5701,294.0,5.5,5.7,980.1,55.0,0.0,17.2,599.0,,338.0,
2017-10-13 13:50:00+00:00,2017-10-13 13:50:00+00:00,5701,292.0,4.4,4.5,980.2,56.0,0.0,17.0,600.0,,296.0,
2017-10-13 14:00:00+00:00,2017-10-13 14:00:00+00:00,5701,289.0,3.0,3.2,980.1,58.0,0.0,17.0,600.0,,289.0,
2017-10-13 14:10:00+00:00,2017-10-13 14:10:00+00:00,5701,285.0,3.0,3.1,980.1,58.0,0.0,17.0,600.0,,276.0,
2017-10-13 14:20:00+00:00,2017-10-13 14:20:00+00:00,5701,289.0,4.9,5.0,980.1,59.0,0.0,16.7,600.0,,248.0,
2017-10-13 14:30:00+00:00,2017-10-13 14:30:00+00:00,5701,286.0,3.1,3.3,980.2,59.0,0.0,16.7,600.0,,221.0,
2017-10-13 14:40:00+00:00,2017-10-13 14:40:00+00:00,5701,279.0,1.7,1.8,980.2,59.0,0.0,16.6,600.0,,200.0,
2017-10-13 14:50:00+00:00,2017-10-13 14:50:00+00:00,5701,278.0,1.0,1.4,980.2,60.0,0.0,16.5,536.0,,165.0,
2017-10-13 15:00:00+00:00,2017-10-13 15:00:00+00:00,5701,272.0,1.4,1.7,980.1,61.0,0.0,16.2,0.0,,62.0,
2017-10-13 15:10:00+00:00,2017-10-13 15:10:00+00:00,5701,267.0,1.3,1.6,979.9,62.0,0.0,15.8,0.0,,41.0,
2017-10-13 15:20:00+00:00,2017-10-13 15:20:00+00:00,5701,277.0,2.3,2.5,979.8,59.0,0.0,16.0,0.0,,34.0,
2017-10-13 15:30:00+00:00,2017-10-13 15:30:00+00:00,5701,274.0,2.0,2.3,979.8,61.0,0.0,15.7,0.0,,28.0,
2017-10-13 15:40:00+00:00,2017-10-13 15:40:00+00:00,5701,304.0,0.7,0.8,980.0,64.0,0.0,15.0,0.0,,21.0,
2017-10-13 15:50:00+00:00,2017-10-13 15:50:00+00:00,5701,87.0,0.5,0.6,980.1,68.0,0.0,14.2,0.0,,14.0,
2017-10-13 16:00:00+00:00,2017-10-13 16:00:00+00:00,5701,292.0,0.3,0.7,980.1,69.0,0.0,13.9,0.0,,14.0,
2017-10-13 16:10:00+00:00,2017-10-13 16:10:00+00:00,5701,130.0,0.3,0.6,980.2,72.0,0.0,13.3,0.0,,7.0,
2017-10-13 16:20:00+00:00,2017-10-13 16:20:00+00:00,5701,79.0,0.2,0.5,980.3,74.0,0.0,12.5,0.0,,0.0,
2017-10-13 16:30:00+00:00,2017-10-13 16:30:00+00:00,5701,301.0,0.8,0.9,980.3,79.0,0.0,11.3,0.0,,0.0,
2017-10-13 16:40:00+00:00,2017-10-13 16:40:00+00:00,5701,324.0,0.5,0.6,980.3,79.0,0.0,11.2,0.0,,0.0,
2017-10-13 16:50:00+00:00,2017-10-13 16:50:00+00:00,5701,44.0,0.3,0.5,980.5,82.0,0.0,10.6,0.0,,0.0,
2017-10-13 17:00:00+00:00,2017-10-13 17:00:00+00:00,5701,95.0,0.4,0.6,980.5,82.0,0.0,10.9,0.0,,0.0,
2017-10-13 17:10:00+00:00,2017-10-13 17:10:00+00:00,5701,96.0,0.4,0.4,980.7,84.0,0.0,10.7,0.0,,0.0,
2017-10-13 17:20:00+00:00,2017-10-13 17:20:00+00:00,5701,167.0,0.3,0.6,980.7,85.0,0.0,9.9,0.0,,0.0,
2017-10-13 17:30:00+00:00,2017-10-13 17:30:00+00:00,5701,0.0,0.0,0.4,980.7,85.0,0.0,9.8,0.0,,0.0,
2017-10-13 17:40:00+00:00,2017-10-13 17:40:00+00:00,5701,76.0,0.2,0.5,980.8,87.0,0.0,9.8,0.0,,0.0,
2017-10-13 17:50:00+00:00,2017-10-13 17:50:00+00:00,5701,132.0,0.3,0.4,980.8,88.0,0.0,9.6,0.0,,0.0,
2017-10-13 18:00:00+00:00,2017-10-13 18:00:00+00:00,5701,118.0,0.3,0.4,980.8,88.0,0.0,9.6,0.0,,0.0,
2017-10-13 18:10:00+00:00,2017-10-13 18:10:00+00:00,5701,81.0,0.6,0.8,980.7,88.0,0.0,10.0,0.0,,0.0,
2017-10-13 18:20:00+00:00,2017-10-13 18:20:00+00:00,5701,121.0,0.2,0.5,980.8,88.0,0.0,10.0,0.0,,0.0,
2017-10-13 18:30:00+00:00,2017-10-13 18:30:00+00:00,5701,78.0,0.4,0.7,980.7,87.0,0.0,9.8,0.0,,0.0,
2017-10-13 18:40:00+00:00,2017-10-13 18:40:00+00:00,5701,4.0,0.4,0.5,980.7,87.0,0.0,9.4,0.0,,0.0,
2017-10-13 18:50:00+00:00,2017-10-13 18:50:00+00:00,5701,46.0,0.1,0.4,980.8,89.0,0.0,9.3,0.0,,0.0,
2017-10-13 19:00:00+00:00,2017-10-13 19:00:00+00:00,5701,94.0,0.4,0.6,980.9,89.0,0.0,9.3,0.0,,0.0,
2017-10-13 19:10:00+00:00,2017-10-13 19:10:00+00:00,5701,86.0,0.8,1.0,980.9,88.0,0.0,9.8,0.0,,0.0,
2017-10-13 19:20:00+00:00,2017-10-13 19:20:00+00:00,5701,87.0,0.4,0.8,981.1,88.0,0.0,9.8,0.0,,0.0,
2017-10-13 19:30:00+00:00,2017-10-13 19:30:00+00:00,5701,78.0,0.2,0.5,981.3,88.0,0.0,9.5,0.0,,0.0,
2017-10-13 19:40:00+00:00,2017-10-13 19:40:00+00:00,5701,90.0,0.2,0.5,981.3,88.0,0.0,9.4,0.0,,0.0,
2017-10-13 19:50:00+00:00,2017-10-13 19:50:00+00:00,5701,70.0,0.3,0.7,981.4,86.0,0.0,9.9,0.0,,0.0,
2017-10-13 20:00:00+00:00,2017-10-13 20:00:00+00:00,5701,63.0,0.4,0.7,981.4,86.0,0.0,9.9,0.0,,0.0,
2017-10-13 20:10:00+00:00,2017-10-13 20:10:00+00:00,5701,326.0,0.4,0.8,981.3,84.0,0.0,10.6,0.0,,0.0,
2017-10-13 20:20:00+00:00,2017-10-13 20:20:00+00:00,5701,21.0,0.4,0.8,981.4,83.0,0.0,11.4,0.0,,0.0,
2017-10-13 20:30:00+00:00,2017-10-13 20:30:00+00:00,5701,295.0,0.5,1.1,981.4,82.0,0.0,11.2,0.0,,0.0,
2017-10-13 20:40:00+00:00,2017-10-13 20:40:00+00:00,5701,337.0,0.8,0.9,981.5,83.0,0.0,11.0,0.0,,0.0,
2017-10-13 20:50:00+00:00,2017-10-13 20:50:00+00:00,5701,3.0,0.3,0.5,981.6,83.0,0.0,10.8,0.0,,0.0,
2017-10-13 21:00:00+00:00,2017-10-13 21:00:00+00:00,5701,90.0,0.6,0.8,981.6,86.0,0.0,10.4,0.0,,0.0,
2017-10-13 21:10:00+00:00,2017-10-13 21:10:00+00:00,5701,88.0,0.6,0.7,981.9,87.0,0.0,9.9,0.0,,0.0,
2017-10-13 21:20:00+00:00,2017-10-13 21:20:00+00:00,5701,96.0,1.0,1.1,981.8,88.0,0.0,10.1,0.0,,0.0,
2017-10-13 21:30:00+00:00,2017-10-13 21:30:00+00:00,5701,48.0,0.5,0.7,981.8,88.0,0.0,10.0,0.0,,0.0,
2017-10-13 21:40:00+00:00,2017-10-13 21:40:00+00:00,5701,311.0,0.5,0.5,981.8,90.0,0.0,9.3,0.0,,0.0,
2017-10-13 21:50:00+00:00,2017-10-13 21:50:00+00:00,5701,338.0,0.4,0.5,981.8,90.0,0.0,9.4,0.0,,0.0,
2017-10-13 22:00:00+00:00,2017-10-13 22:00:00+00:00,5701,315.0,0.6,0.8,981.6,90.0,0.0,9.2,0.0,,0.0,
2017-10-13 22:10:00+00:00,2017-10-13 22:10:00+00:00,5701,7.0,0.1,0.4,981.8,91.0,0.0,9.0,0.0,,0.0,
2017-10-13 22:20:00+00:00,2017-10-13 22:20:00+00:00,5701,76.0,0.6,0.8,981.6,91.0,0.0,8.9,0.0,,0.0,
2017-10-13 22:30:00+00:00,2017-10-13 22:30:00+00:00,5701,121.0,0.3,0.5,981.5,90.0,0.0,9.1,0.0,,0.0,
2017-10-13 22:40:00+00:00,2017-10-13 22:40:00+00:00,5701,0.0,0.0,0.4,981.4,91.0,0.0,8.2,0.0,,0.0,
2017-10-13 22:50:00+00:00,2017-10-13 22:50:00+00:00,5701,99.0,0.4,0.6,981.4,92.0,0.0,8.5,0.0,,0.0,
2017-10-13 23:00:00+00:00,2017-10-13 23:00:00+00:00,5701,268.0,0.4,0.8,981.5,89.0,0.0,9.2,0.0,,0.0,
2017-10-13 23:10:00+00:00,2017-10-13 23:10:00+00:00,5701,9.0,0.2,0.4,981.6,89.0,0.0,9.0,0.0,,0.0,
2017-10-13 23:20:00+00:00,2017-10-13 23:20:00+00:00,5701,290.0,0.5,1.1,981.6,88.0,0.0,9.3,0.0,,0.0,
2017-10-13 23:30:00+00:00,2017-10-13 23:30:00+00:00,5701,305.0,0.6,0.8,981.6,85.0,0.0,9.8,0.0,,0.0,
2017-10-13 23:40:00+00:00,2017-10-13 23:40:00+00:00,5701,347.0,0.2,0.5,981.5,88.0,0.0,9.5,0.0,,0.0,
2017-10-13 23:50:00+00:00,2017-10-13 23:50:00+00:00,5701,11.0,0.6,0.8,981.6,88.0,0.0,9.8,0.0,,0.0,
2017-10-14 00:00:00+00:00,2017-10-14 00:00:00+00:00,5701,74.0,0.2,0.5,981.6,89.0,0.0,9.1,0.0,,0.0,
2017-10-14 00:10:00+00:00,2017-10-14 00:10:00+00:00,5701,5.0,0.4,1.0,981.6,87.0,0.0,9.9,0.0,,0.0,
2017-10-14 00:20:00+00:00,2017-10-14 00:20:00+00:00,5701,12.0,0.4,0.6,981.6,87.0,0.0,9.7,0.0,,0.0,
2017-10-14 00:30:00+00:00,2017-10-14 00:30:00+00:00,5701,207.0,0.1,0.7,981.6,89.0,0.0,9.4,0.0,,0.0,
2017-10-14 00:40:00+00:00,2017-10-14 00:40:00+00:00,5701,350.0,0.3,0.4,981.6,89.0,0.0,9.1,0.0,,0.0,
2017-10-14 00:50:00+00:00,2017-10-14 00:50:00+00:00,5701,330.0,0.3,0.6,981.8,89.0,0.0,8.9,0.0,,0.0,
2017-10-14 01:00:00+00:00,2017-10-14 01:00:00+00:00,5701,330.0,0.6,0.7,981.8,90.0,0.0,8.5,0.0,,0.0,
2017-10-14 01:10:00+00:00,2017-10-14 01:10:00+00:00,5701,326.0,0.9,1.1,981.8,88.0,0.0,9.5,0.0,,0.0,
2017-10-14 01:20:00+00:00,2017-10-14 01:20:00+00:00,5701,294.0,0.5,0.6,981.8,90.0,0.0,8.6,0.0,,0.0,
2017-10-14 01:30:00+00:00,2017-10-14 01:30:00+00:00,5701,333.0,0.6,0.7,981.8,91.0,0.0,8.6,0.0,,0.0,
2017-10-14 01:40:00+00:00,2017-10-14 01:40:00+00:00,5701,197.0,0.2,0.4,981.8,92.0,0.0,8.2,0.0,,0.0,
2017-10-14 01:50:00+00:00,2017-10-14 01:50:00+00:00,5701,26.0,0.2,0.6,981.9,93.0,0.0,8.2,0.0,,0.0,
2017-10-14 02:00:00+00:00,2017-10-14 02:00:00+00:00,5701,286.0,0.1,0.4,981.9,93.0,0.0,8.2,0.0,,0.0,
2017-10-14 02:10:00+00:00,2017-10-14 02:10:00+00:00,5701,0.0,0.0,0.5,982.0,93.0,0.0,7.8,0.0,,0.0,
2017-10-14 02:20:00+00:00,2017-10-14 02:20:00+00:00,5701,291.0,0.3,0.6,982.0,94.0,0.0,7.8,0.0,,0.0,
2017-10-14 02:30:00+00:00,2017-10-14 02:30:00+00:00,5701,228.0,0.3,0.4,982.1,94.0,0.0,8.1,0.0,,0.0,
2017-10-14 02:40:00+00:00,2017-10-14 02:40:00+00:00,5701,278.0,0.3,0.6,982.0,94.0,0.0,8.2,0.0,,0.0,
2017-10-14 02:50:00+00:00,2017-10-14 02:50:00+00:00,5701,267.0,0.4,0.5,982.1,94.0,0.0,8.4,0.0,,0.0,
2017-10-14 03:00:00+00:00,2017-10-14 03:00:00+00:00,5701,287.0,0.4,0.5,982.1,93.0,0.0,8.5,0.0,,0.0,
2017-10-14 03:10:00+00:00,2017-10-14 03:10:00+00:00,5701,254.0,0.3,0.5,982.2,94.0,0.0,8.0,0.0,,0.0,
2017-10-14 03:20:00+00:00,2017-10-14 03:20:00+00:00,5701,262.0,0.2,0.4,982.1,94.0,0.0,8.4,0.0,,0.0,
2017-10-14 03:30:00+00:00,2017-10-14 03:30:00+00:00,5701,254.0,0.4,0.6,982.2,94.0,0.0,8.0,0.0,,0.0,
2017-10-14 03:40:00+00:00,2017-10-14 03:40:00+00:00,5701,290.0,0.6,0.8,982.3,95.0,0.0,7.9,0.0,,0.0,
2017-10-14 03:50:00+00:00,2017-10-14 03:50:00+00:00,5701,300.0,0.6,0.7,982.3,96.0,0.0,8.0,0.0,,0.0,
2017-10-14 04:00:00+00:00,2017-10-14 04:00:00+00:00,5701,299.0,0.5,0.7,982.3,96.0,0.0,7.6,0.0,,0.0,
2017-10-14 04:10:00+00:00,2017-10-14 04:10:00+00:00,5701,312.0,0.6,0.6,982.4,95.0,0.0,7.5,0.0,,0.0,
2017-10-14 04:20:00+00:00,2017-10-14 04:20:00+00:00,5701,311.0,0.5,0.5,982.4,96.0,0.0,7.2,0.0,,0.0,
2017-10-14 04:30:00+00:00,2017-10-14 04:30:00+00:00,5701,301.0,0.6,0.7,982.5,96.0,0.0,7.2,0.0,,0.0,
2017-10-14 04:40:00+00:00,2017-10-14 04:40:00+00:00,5701,297.0,0.9,0.9,982.5,96.0,0.0,6.8,0.0,,0.0,
2017-10-14 04:50:00+00:00,2017-10-14 04:50:00+00:00,5701,293.0,0.7,0.7,982.5,96.0,0.0,6.8,0.0,,0.0,
2017-10-14 05:00:00+00:00,2017-10-14 05:00:00+00:00,5701,303.0,0.8,0.8,982.5,96.0,0.0,6.4,0.0,,0.0,
2017-10-14 05:10:00+00:00,2017-10-14 05:10:00+00:00,5701,303.0,0.7,0.8,982.6,97.0,0.0,6.4,0.0,,0.0,
2017-10-14 05:20:00+00:00,2017-10-14 05:20:00+00:00,5701,299.0,0.7,0.8,982.6,97.0,0.0,6.7,0.0,,0.0,
2017-10-14 05:30:00+00:00,2017-10-14 05:30:00+00:00,5701,303.0,0.7,0.8,982.7,97.0,0.0,6.3,0.0,,7.0,
2017-10-14 05:40:00+00:00,2017-10-14 05:40:00+00:00,5701,304.0,0.7,0.7,982.7,98.0,0.0,6.9,0.0,,21.0,
2017-10-14 05:50:00+00:00,2017-10-14 05:50:00+00:00,5701,307.0,0.6,0.7,982.6,97.0,0.0,6.5,519.0,,34.0,
2017-10-14 06:00:00+00:00,2017-10-14 06:00:00+00:00,5701,298.0,0.6,0.7,982.7,97.0,0.0,7.0,599.0,,48.0,
2017-10-14 06:10:00+00:00,2017-10-14 06:10:00+00:00,5701,310.0,0.6,0.7,982.7,97.0,0.0,7.3,600.0,,62.0,
2017-10-14 06:20:00+00:00,2017-10-14 06:20:00+00:00,5701,300.0,0.7,0.8,982.7,97.0,0.0,7.9,600.0,,76.0,
2017-10-14 06:30:00+00:00,2017-10-14 06:30:00+00:00,5701,314.0,0.4,0.6,982.9,96.0,0.0,8.5,600.0,,117.0,
2017-10-14 06:40:00+00:00,2017-10-14 06:40:00+00:00,5701,283.0,0.2,0.5,982.9,95.0,0.0,9.7,600.0,,179.0,
2017-10-14 06:50:00+00:00,2017-10-14 06:50:00+00:00,5701,271.0,0.5,0.8,982.9,90.0,0.0,11.2,600.0,,193.0,
2017-10-14 07:00:00+00:00,2017-10-14 07:00:00+00:00,5701,310.0,2.4,2.6,982.9,80.0,0.0,13.0,600.0,,165.0,
2017-10-14 07:10:00+00:00,2017-10-14 07:10:00+00:00,5701,315.0,3.3,3.3,983.0,77.0,0.0,13.7,600.0,,186.0,
2017-10-14 07:20:00+00:00,2017-10-14 07:20:00+00:00,5701,311.0,3.9,3.9,983.1,76.0,0.0,13.8,282.0,,172.0,
2017-10-14 07:30:00+00:00,2017-10-14 07:30:00+00:00,5701,313.0,4.0,4.0,983.2,74.0,0.0,14.0,0.0,,159.0,
2017-10-14 07:40:00+00:00,2017-10-14 07:40:00+00:00,5701,314.0,4.1,4.1,983.3,74.0,0.0,14.1,0.0,,179.0,
2017-10-14 07:50:00+00:00,2017-10-14 07:50:00+00:00,5701,313.0,4.3,4.3,983.4,73.0,0.0,14.3,0.0,,172.0,
2017-10-14 08:00:00+00:00,2017-10-14 08:00:00+00:00,5701,311.0,4.1,4.1,983.4,72.0,0.0,14.5,0.0,,193.0,
2017-10-14 08:10:00+00:00,2017-10-14 08:10:00+00:00,5701,313.0,3.5,3.5,983.5,73.0,0.0,14.8,85.0,,221.0,
2017-10-14 08:20:00+00:00,2017-10-14 08:20:00+00:00,5701,313.0,3.5,3.6,983.5,71.0,0.0,14.9,588.0,,234.0,
2017-10-14 08:30:00+00:00,2017-10-14 08:30:00+00:00,5701,312.0,3.6,3.6,983.6,71.0,0.0,15.2,570.0,,241.0,
