DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.1,0.97,958.572,16.657,4.946,0.386,357.389,14.928,0,0,0,0,21.207,0,0,0,0,10.83,32.091,52.961,962.159,959.641,957.18,25.455,25.455,25.455,6.997,6.925,6.855,0.238,0.238,0.238,357.822,357.822,357.822
2017-10-13 12:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,957.214,21.548,5.19,0.981,332.772,16.626,0,533.695,525.752,307.397,22.25,7.768,0,-329.733,0.201,10.818,32.055,52.901,955.955,953.674,951.312,25.194,25.161,25.149,5.19,5.212,5.224,1.001,1.239,1.296,332.743,328.3,326.199
2017-10-13 13:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,957.038,21.746,5.255,0.134,289.532,17.953,0,487.727,481.195,308.487,22.849,10.418,0,-287.103,0.149,10.826,32.076,52.931,955.801,953.459,951.158,25.399,25.331,25.307,5.255,5.262,5.261,0.137,0.179,0.268,289.871,216.168,192.929
2017-10-13 13:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,956.93,21.924,5.295,0.941,303.803,18.921,0,430.622,425.591,309.469,22.98,12.466,0,-237.975,0.212,10.832,32.092,52.957,955.768,953.488,951.126,25.572,25.48,25.46,5.294,5.304,5.307,0.959,1.17,1.226,303.786,304.741,307.972
2017-10-13 14:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,956.937,21.95,5.383,0.701,261.196,19.516,0,363.975,360.444,309.782,22.738,7.632,0,-188.941,0.165,10.834,32.101,52.973,955.826,953.478,951.18,25.618,25.573,25.569,5.383,5.367,5.358,0.711,0.876,0.947,261.134,275.953,285.704
2017-10-13 14:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,957.107,22.046,5.14,2.301,80.346,19.826,0,288.276,286.229,311.649,22.153,1.651,0,-136.463,0.313,10.835,32.103,52.98,955.927,953.58,951.215,25.747,25.735,25.73,5.141,5.143,5.146,2.365,2.972,3.219,80.384,77.269,75.96
2017-10-13 15:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,957.173,20.916,6.888,4.045,78.232,19.788,0,205.336,204.664,316.135,21.062,3.657,0,-74.659,0.538,10.82,32.061,52.909,956.039,953.69,951.386,24.584,24.567,24.561,6.889,6.892,6.894,4.146,5.043,5.451,78.198,77.861,77.684
2017-10-13 15:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,957.717,19.239,7.777,5.174,66.202,19.42,0,122.032,122.449,314.49,19.52,8.865,0,-5.896,0.69,10.773,31.921,52.679,956.438,954.085,951.78,22.828,22.795,22.784,7.778,7.782,7.785,5.293,6.416,6.911,66.134,67.051,67.649
2017-10-13 16:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,957.932,18.415,7.995,4.986,62.751,18.768,0,43.845,44.738,313.208,18.133,-8.284,0,37.261,0.638,10.749,31.852,52.567,956.708,954.353,952.047,22.071,22.086,22.094,7.995,7.995,7.993,5.105,6.206,6.697,62.733,62.933,63.301
2017-10-13 16:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,958.242,17.694,8.055,3.252,65.137,17.98,0,0,0,312.853,16.889,-13.783,0,63.998,0.354,10.729,31.792,52.47,957.047,954.694,952.385,21.479,21.533,21.557,8.055,8.051,8.048,3.349,4.052,4.396,65.128,65.643,66.044
2017-10-13 17:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,958.595,16.983,7.971,2.22,85.545,17.214,0,0,0,312.361,16.075,-7.478,0,66.782,0.166,10.707,31.73,52.37,957.422,955.065,952.758,20.926,21,21.029,7.971,7.968,7.965,2.311,2.7,2.854,85.517,82.443,80.823
2017-10-13 17:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,958.883,16.384,7.955,2.461,77.855,16.524,0,0,0,310.794,15.45,-9.687,0,62.946,0.209,10.683,31.658,52.251,957.719,955.362,953.055,20.245,20.33,20.368,7.955,7.95,7.946,2.552,3.139,3.393,77.753,75.927,74.874
2017-10-13 18:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,959.13,15.811,7.888,3.052,64.837,15.932,0,0,0,309.272,14.941,-13.448,0,58.093,0.316,10.656,31.577,52.12,957.999,955.642,953.267,19.528,19.618,19.653,7.888,7.886,7.884,3.142,3.825,4.062,64.807,65.769,66.428
2017-10-13 18:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,959.248,15.173,7.827,2.309,65.988,15.399,0,0,0,307.849,14.344,-8.101,0,61.851,0.195,10.635,31.515,52.015,958.073,955.715,953.406,18.953,19.036,19.072,7.827,7.825,7.822,2.385,2.854,3.064,65.962,68.011,69.309
2017-10-13 19:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,959.428,14.595,7.775,1.48,80.916,14.879,0,0,0,307.055,13.746,-1.381,0,66.433,0.041,10.623,31.481,51.961,958.23,955.869,953.563,18.651,18.751,18.812,7.775,7.768,7.761,1.52,1.862,2.147,80.994,75.353,72.29
2017-10-13 19:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,959.642,14.31,7.689,1.511,119.226,14.399,0,0,0,306.468,13.295,-1.479,0,64.714,0.039,10.616,31.459,51.924,958.409,956.053,953.743,18.459,18.548,18.597,7.689,7.685,7.682,1.55,1.592,1.645,119.186,105.612,96.886
2017-10-13 20:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,959.841,14,7.603,1.479,115.986,13.971,0,0,0,305.836,12.889,-1.426,0,63.413,0.036,10.606,31.43,51.877,958.571,956.214,953.905,18.188,18.296,18.361,7.603,7.599,7.596,1.514,1.595,1.687,115.971,104.605,97.251
2017-10-13 20:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,959.996,13.815,7.56,1.146,119.215,13.585,0,0,0,305.455,12.518,-0.881,0,62.55,0.023,10.599,31.41,51.846,958.721,956.361,954.052,18.014,18.13,18.222,7.56,7.561,7.56,1.168,1.261,1.385,119.167,109.675,103.875
2017-10-13 21:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,960.096,13.627,7.526,0.795,119.499,13.233,0,0,0,304.836,12.177,-0.518,0,61.867,0.015,10.59,31.382,51.8,958.875,956.516,954.208,17.774,17.895,17.98,7.526,7.531,7.533,0.809,0.826,0.892,119.481,112.85,106.259
2017-10-13 21:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,960.175,13.545,7.514,0.695,101.904,12.914,0,0,0,304.648,11.879,-0.474,0,60.668,0.013,10.587,31.375,51.784,958.996,956.638,954.328,17.737,17.802,17.841,7.514,7.509,7.505,0.709,0.873,1.026,102.054,84.095,76.066
2017-10-13 22:00:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,960.241,13.003,7.5,0.623,101.242,12.623,0,0,0,303.013,11.584,-0.359,0,60.895,0.012,10.563,31.304,51.674,959.087,956.797,954.417,17.045,17.202,17.335,7.5,7.499,7.498,0.633,0.641,0.654,101.135,89.747,84.869
2017-10-13 22:30:00,11.384167,47.259998,578,519376,648,473,47.2602,11.3783,648.4441,472.9775,51,585.52,0.15,0.88,960.303,12.755,7.49,0.441,88.333,12.351,0,0,0,302.027,11.317,-0.227,0,60.668,0.008,10.551,31.275,51.635,959.122,956.767,954.452,16.726,16.987,17.23,7.49,7.488,7.487,0.448,0.467,0.384,88.363,74.798,71.085
