DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.1,0.97,976.561,18.369,7.772,2.354,359.751,15.31,0,0,0,0,20.055,0,0,0,0,10.809,32.024,52.853,976.618,974.026,971.485,21.757,21.757,21.757,8.307,8.22,8.136,2.357,2.357,2.357,1.263,1.263,1.263
2017-10-13 12:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.131,18.633,7.485,2.933,353.269,16.666,0,506.235,505.033,312.51,21.197,64.357,0,-265.66,0.508,10.754,31.855,52.567,975.805,973.4,971.045,20.325,20.18,20.121,7.485,7.491,7.493,2.984,3.556,3.784,354.534,353.147,352.161
2017-10-13 13:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,976.993,18.621,7.241,2.969,349.368,17.629,0,460.538,459.308,310.972,21.366,69.866,0,-219.104,0.516,10.749,31.841,52.542,975.677,973.273,970.918,20.313,20.148,20.077,7.241,7.25,7.255,3.021,3.657,3.933,350.618,349.965,349.44
2017-10-13 13:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,976.978,18.638,7.215,2.096,338.841,18.306,0,403.017,401.794,311.09,21.391,59.209,0,-180.846,0.418,10.75,31.844,52.548,975.748,973.347,970.997,20.365,20.215,20.15,7.215,7.223,7.227,2.13,2.603,2.825,340.038,339.162,338.539
2017-10-13 14:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.005,18.558,7.209,2.171,319.144,18.711,0,336.261,335.079,310.807,20.987,51.66,0,-133.439,0.415,10.749,31.841,52.542,975.652,973.251,970.962,20.306,20.165,20.103,7.209,7.216,7.22,2.208,2.692,2.912,320.404,319.926,319.544
2017-10-13 14:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,976.97,18.419,7.364,2.097,320.283,18.837,0,261.478,260.378,311.018,20.323,37.931,0,-87.134,0.386,10.747,31.838,52.539,975.61,973.208,970.854,20.201,20.091,20.044,7.364,7.368,7.368,2.132,2.613,2.846,321.577,320.818,320.363
2017-10-13 15:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.003,18.261,7.277,2.395,325.406,18.707,0,181.813,180.847,310.541,19.383,22.041,0,-39.632,0.387,10.742,31.822,52.516,975.641,973.241,970.887,20.085,20.011,19.98,7.277,7.28,7.281,2.438,2.957,3.201,326.68,325.888,325.42
2017-10-13 15:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.034,17.985,7.343,1.969,327.662,18.35,0,100.808,100.053,310.319,18.254,3.982,0,5.629,0.286,10.735,31.805,52.491,975.693,973.29,970.937,19.892,19.869,19.86,7.344,7.344,7.343,2.006,2.423,2.622,328.945,328.375,328.003
2017-10-13 16:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.103,17.388,7.472,1.557,337.825,17.775,0,27.026,26.635,309.638,16.832,-2.375,0,55.32,0.085,10.729,31.788,52.465,975.841,973.439,971.079,19.659,19.684,19.695,7.473,7.467,7.461,1.629,1.829,1.942,339.086,338.17,337.383
2017-10-13 16:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.215,16.51,7.727,1.421,258.572,17.044,0,0,0,308.487,15.766,-1.241,0,74.938,0.041,10.708,31.731,52.383,976.016,973.613,971.255,18.976,19.162,19.28,7.728,7.709,7.687,1.471,1.353,1.246,259.712,267.271,274.504
2017-10-13 17:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.371,15.688,7.694,1.448,246.842,16.379,0,0,0,306.089,15.122,-1.512,0,73.7,0.057,10.672,31.636,52.247,976.136,973.73,971.307,17.986,18.487,18.768,7.694,7.692,7.682,1.503,1.543,1.657,248.221,263.74,274.735
2017-10-13 17:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.584,15.391,7.587,2.016,326.019,15.78,0,0,0,305.628,14.628,-5.731,0,67.527,0.147,10.658,31.595,52.179,976.304,973.9,971.543,17.63,18.089,18.374,7.588,7.642,7.668,2.095,2.586,2.608,327.312,328.625,328.037
2017-10-13 18:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.752,14.649,7.781,1.767,337.703,15.244,0,0,0,302.237,14.056,-3.892,0,69.643,0.126,10.632,31.512,52.035,976.46,974.056,971.696,16.797,17.123,17.409,7.781,7.776,7.792,1.833,2.274,2.287,338.962,343.45,348.806
2017-10-13 18:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.688,14.074,7.658,1.45,325.66,14.747,0,0,0,300.418,13.535,-1.588,0,71.087,0.061,10.612,31.457,51.947,976.38,973.978,971.618,16.311,16.765,17.067,7.658,7.593,7.464,1.502,1.924,1.63,326.922,333.439,354.647
2017-10-13 19:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.795,13.677,7.605,0.981,277.12,14.282,0,0,0,298.722,13.063,-0.463,0,71.488,0.022,10.599,31.421,51.897,976.524,974.117,971.759,15.954,16.504,16.873,7.605,7.622,7.537,1.002,1.475,1.198,278.462,304.633,310.736
2017-10-13 19:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,977.832,13.459,7.544,1.469,316.578,13.864,0,0,0,298.72,12.69,-1.381,0,68.822,0.043,10.594,31.408,51.88,976.626,974.224,971.867,15.867,16.448,16.906,7.544,7.562,7.516,1.509,1.737,1.578,317.888,319.949,319.275
2017-10-13 20:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.058,13.212,7.51,0.761,346.76,13.479,0,0,0,297.302,12.298,-0.356,0,69.266,0.015,10.583,31.37,51.807,976.791,974.391,972.03,15.566,15.947,16.346,7.51,7.528,7.538,0.773,0.924,0.956,348.042,347.932,347.127
2017-10-13 20:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.111,13.096,7.513,0.593,345.903,13.129,0,0,0,297.035,11.968,-0.285,0,68.033,0.011,10.58,31.359,51.79,976.894,974.491,972.132,15.486,15.843,16.293,7.513,7.52,7.512,0.603,0.625,0.581,347.196,353.119,353.065
2017-10-13 21:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.248,12.505,7.504,1.006,175.694,12.808,0,0,0,295.348,11.652,-0.562,0,67.793,0.021,10.558,31.297,51.688,976.994,974.59,972.232,14.864,15.3,15.656,7.504,7.512,7.513,1.026,0.751,0.584,176.958,173.479,166.899
2017-10-13 21:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.294,12.215,7.432,1.769,155.26,12.513,0,0,0,294.021,11.394,-2.754,0,65.582,0.071,10.547,31.281,51.687,977.029,974.622,972.265,14.578,15.498,15.917,7.431,7.465,7.47,1.826,2.185,2.167,156.51,155.597,155.658
2017-10-13 22:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.283,12.201,7.297,2.267,141.998,12.269,0,0,0,293.655,11.247,-8.085,0,59.897,0.166,10.54,31.266,51.678,977.05,974.643,972.286,14.44,15.558,16.161,7.297,7.342,7.318,2.339,3.322,3.427,143.28,148.987,150.196
2017-10-13 22:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.279,11.906,7.38,2.016,154.596,12.049,0,0,0,293.025,10.987,-5.054,0,62.286,0.11,10.534,31.247,51.648,977.054,974.648,972.288,14.241,15.284,15.974,7.38,7.469,7.517,2.084,3.18,3.626,155.879,156.848,155.897
2017-10-13 23:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.324,11.546,7.416,1.195,171.522,11.811,0,0,0,291.463,10.677,-0.819,0,66.482,0.027,10.523,31.206,51.566,977.085,974.679,972.32,13.937,14.686,15.36,7.416,7.489,7.535,1.215,1.895,2.387,172.793,166.688,164.532
2017-10-13 23:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.348,11.528,7.459,0.507,93.79,11.584,0,0,0,290.602,10.445,-0.222,0,66.771,0.009,10.521,31.193,51.535,977.116,974.71,972.35,13.839,14.43,15.083,7.459,7.5,7.536,0.516,0.534,0.878,95.016,139.026,159.089
2017-10-14 00:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.385,11.438,7.511,0.87,99.199,11.371,0,0,0,290.269,10.248,-0.53,0,65.841,0.017,10.525,31.203,51.55,977.138,974.732,972.375,13.909,14.472,15.165,7.511,7.525,7.539,0.884,0.528,0.475,100.509,113.943,159.619
2017-10-14 00:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.376,11.365,7.513,0.546,155.983,11.173,0,0,0,290.166,10.059,-0.286,0,65.317,0.01,10.52,31.193,51.541,977.139,974.733,972.371,13.779,14.482,15.16,7.513,7.525,7.539,0.554,0.309,0.27,157.433,187.597,213.22
2017-10-14 01:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.32,11.229,7.485,0.495,256.755,10.991,0,0,0,290.243,9.891,-0.256,0,64.515,0.009,10.514,31.171,51.498,977.078,974.672,972.313,13.64,14.239,14.873,7.485,7.508,7.528,0.503,0.381,0.25,258.092,275.325,276.421
2017-10-14 01:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.293,11.207,7.492,0.353,294.164,10.824,0,0,0,291.357,9.75,-0.176,0,62.973,0.007,10.511,31.162,51.478,977.054,974.649,972.289,13.605,14.157,14.71,7.492,7.515,7.532,0.358,0.253,0.145,295.485,314.157,293.191
2017-10-14 02:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.324,11.051,7.469,0.297,241.284,10.673,0,0,0,292.811,9.629,-0.138,0,61.189,0.005,10.503,31.137,51.436,977.08,974.677,972.319,13.405,13.939,14.513,7.469,7.502,7.53,0.303,0.161,0.159,242.404,217.278,205.803
2017-10-14 02:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.396,10.722,7.424,0.736,234.567,10.541,0,0,0,293.214,9.517,-0.413,0,60.061,0.014,10.493,31.107,51.39,977.155,974.749,972.394,13.15,13.704,14.306,7.424,7.471,7.513,0.748,0.534,0.457,235.85,220.032,207.126
2017-10-14 03:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.455,10.446,7.39,1.037,240.995,10.41,0,0,0,293.12,9.397,-0.667,0,59.362,0.021,10.481,31.076,51.341,977.215,974.81,972.455,12.878,13.469,14.093,7.39,7.435,7.493,1.054,0.787,0.655,242.232,236.757,224.302
2017-10-14 03:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.482,10.314,7.457,0.777,221.344,10.3,0,0,0,293.301,9.294,-0.399,0,59.009,0.015,10.474,31.055,51.308,977.243,974.839,972.483,12.661,13.291,13.886,7.457,7.487,7.532,0.788,0.622,0.508,222.578,224.587,213.2
2017-10-14 04:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.505,10.201,7.529,0.626,201.352,10.19,0,0,0,292.889,9.185,-0.286,-0.055,58.945,0.012,10.471,31.047,51.298,977.272,974.865,972.506,12.498,13.209,13.819,7.571,7.596,7.605,0.635,0.48,0.434,202.593,204.184,181.161
2017-10-14 04:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.527,10.157,7.52,0.466,149.793,10.08,0,0,0,292.202,9.072,-0.198,-0.059,59.124,0.009,10.469,31.042,51.29,977.293,974.888,972.53,12.422,13.185,13.772,7.583,7.596,7.587,0.473,0.441,0.807,150.993,133.018,142.195
2017-10-14 05:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.537,10.272,7.476,0.303,91.765,9.97,0,0,0,291.747,8.962,-0.132,-0.038,59.106,0.006,10.473,31.051,51.295,977.312,974.906,972.548,12.564,13.183,13.732,7.54,7.509,7.458,0.307,0.531,0.98,92.996,107.831,144.693
2017-10-14 05:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.551,10.37,7.401,0.19,77.414,9.861,0,0,0,291.542,8.857,-0.085,-0.02,58.863,0.004,10.477,31.057,51.303,977.319,974.909,972.554,12.683,13.212,13.817,7.455,7.417,7.376,0.192,0.329,1.033,78.738,136.836,166.094
2017-10-14 06:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.569,10.274,7.385,0.197,132.204,9.805,0,39.962,15.22,291.104,9.003,-0.076,-0.005,47.012,0.004,10.469,31.037,51.279,977.334,974.929,972.571,12.503,13.055,13.866,7.399,7.402,7.38,0.2,0.131,0.621,133.506,151.68,177.06
2017-10-14 06:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.526,10.776,7.34,0.176,102.723,10.042,0,115.749,115.965,290.868,10.574,-0.013,0,-31.212,0.003,10.473,31.046,51.29,977.283,974.878,972.52,12.634,13.112,13.872,7.34,7.357,7.371,0.178,0.12,0.122,103.992,50.793,186.71
2017-10-14 07:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.523,11.405,7.274,0.112,354.397,10.605,0,196.139,196.284,291.487,12.114,4.498,0.002,-88.476,0.073,10.49,31.09,51.348,977.286,974.879,972.523,13.132,13.42,14.012,7.274,7.281,7.321,0.112,0.271,0.184,355.612,26.807,353.532
2017-10-14 07:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.501,12.297,7.191,0.125,358.977,11.412,0,274.243,274.271,293.137,13.798,12.998,0.004,-139.911,0.107,10.52,31.164,51.447,977.268,974.863,972.508,13.991,13.88,14.352,7.19,7.191,7.238,0.128,0.415,0.326,0.122,36.161,26.829
2017-10-14 08:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.47,13.403,7.087,0.269,13.217,12.415,0,346.711,346.6,295.437,15.566,23.35,0.002,-184.733,0.147,10.558,31.262,51.585,977.228,974.822,972.466,15.072,14.527,14.919,7.087,7.105,7.172,0.271,0.488,0.42,14.584,27.608,25.386
2017-10-14 08:30:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.409,14.371,7.105,0.258,16.673,13.558,0,411.17,410.908,297.533,17.314,36.071,0,-220.18,0.172,10.593,31.378,51.78,977.169,974.763,972.407,16.02,15.837,15.856,7.105,7.125,7.15,0.261,0.386,0.36,17.891,14.658,21.468
2017-10-14 09:00:00,13.008333,47.789444,430,585437,769,533,47.7915,13.0093,768.9275,532.7714,53,427.65,0.15,0.88,978.326,15.561,7.061,0.266,17.05,14.787,0,465.887,465.469,300.317,19.051,46.633,0,-249.983,0.194,10.635,31.501,51.982,977.09,974.685,972.329,17.202,16.996,17.001,7.061,7.06,7.061,0.269,0.458,0.494,18.413,16.003,19.424
