DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.1,0.97,1004.57,19.903,6.261,6.288,308.189,17.488,0,0,0,0,19.572,0,0,0,0,10.772,31.901,52.618,1003.298,1000.827,998.406,18.829,18.253,17.943,6.201,6.134,6.086,6.976,7.698,8.248,312.418,312.303,312.133
2017-10-13 12:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.634,18.957,5.898,5.722,309.172,18.505,0,477.431,469.717,308.749,21.671,108.662,0,-185.634,0.851,10.746,31.842,52.553,1003.261,1000.792,998.369,18.251,18.116,18.057,5.897,5.899,5.898,5.835,6.91,7.424,313.254,313.561,313.55
2017-10-13 13:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.39,19.186,5.801,5.822,311.266,19.192,0,426.305,418.483,309.283,21.727,102.272,0,-148.625,0.857,10.751,31.854,52.573,1003.315,1000.845,998.424,18.491,18.356,18.297,5.802,5.809,5.813,5.936,7.05,7.57,315.367,315.711,315.73
2017-10-13 13:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.402,19.265,6.22,5.674,312.183,19.609,0,364.099,356.405,311.923,21.532,88.693,0,-112.715,0.831,10.762,31.887,52.629,1003.259,1000.79,998.368,18.601,18.475,18.421,6.22,6.225,6.227,5.787,6.881,7.386,316.27,316.48,316.402
2017-10-13 14:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.356,19.32,6.385,5.301,312.41,19.79,0,294.004,286.675,313.389,21.136,66.462,0,-78.914,0.771,10.768,31.906,52.662,1003.234,1000.763,998.342,18.707,18.602,18.558,6.386,6.388,6.389,5.409,6.441,6.916,316.508,316.687,316.614
2017-10-13 14:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.316,19.297,6.486,4.736,313.636,19.757,0,217.857,211.184,314.066,20.521,40.092,0,-44.762,0.681,10.771,31.917,52.681,1003.192,1000.723,998.301,18.754,18.681,18.651,6.486,6.488,6.488,4.833,5.777,6.219,317.725,317.681,317.439
2017-10-13 15:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.69,19.289,6.463,4.241,304.375,19.532,0,138.308,132.7,315.19,19.718,12.231,0,-10.877,0.585,10.778,31.937,52.718,1003.239,1000.77,998.347,18.846,18.815,18.801,6.463,6.465,6.465,4.333,5.137,5.532,308.436,308.452,308.227
2017-10-13 15:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.88,18.821,6.894,4.4,284.427,19.111,0,60.746,56.895,316.468,18.615,-5.66,0,29.066,0.564,10.772,31.923,52.697,1003.303,1000.83,998.405,18.48,18.479,18.478,6.894,6.898,6.9,4.506,5.341,5.73,288.512,289.363,289.847
2017-10-13 16:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.843,18.255,7.064,4.046,282.012,18.518,0,1.834,1.624,315.59,17.505,-17.646,0,59.358,0.476,10.758,31.883,52.633,1003.37,1000.898,998.473,18.04,18.088,18.112,7.064,7.065,7.064,4.161,5.002,5.373,286.108,287.305,287.974
2017-10-13 16:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.665,17.84,7.07,3.753,284.949,17.923,0,0,0,314.078,16.935,-19.037,0,57.889,0.421,10.743,31.837,52.559,1003.471,1000.999,998.575,17.675,17.74,17.777,7.07,7.071,7.071,3.863,4.654,5.003,289.033,290.438,291.395
2017-10-13 17:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.732,17.302,7.16,3.547,278.843,17.394,0,0,0,312.702,16.406,-17.628,0,57.937,0.391,10.725,31.786,52.477,1003.539,1001.068,998.641,17.138,17.239,17.293,7.161,7.161,7.162,3.652,4.359,4.704,282.937,286.345,288.022
2017-10-13 17:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.869,16.875,7.226,3.246,277.086,16.916,0,0,0,312.428,15.938,-16.219,0,57.322,0.341,10.712,31.747,52.414,1003.613,1001.07,998.714,16.739,16.849,16.92,7.226,7.225,7.223,3.346,3.972,4.32,281.193,284.603,286.237
2017-10-13 18:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.938,16.659,7.366,3.238,280.423,16.494,0,0,0,312.027,15.571,-18.017,0,54.101,0.326,10.709,31.738,52.399,1003.677,1001.202,998.777,16.585,16.692,16.755,7.366,7.368,7.369,3.343,3.945,4.288,284.51,287.075,288.097
2017-10-13 18:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.793,16.552,7.352,3.791,279.964,16.142,0,0,0,311.159,15.337,-24.533,0,47.219,0.403,10.706,31.729,52.384,1003.456,1000.983,998.557,16.5,16.617,16.677,7.351,7.35,7.349,3.906,4.663,5.032,284.038,286.114,287.071
2017-10-13 19:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.894,16.623,7.333,3.864,291.161,15.988,0,0,0,311.665,15.25,-27.627,0.008,43.261,0.402,10.71,31.743,52.406,1003.574,1001.102,998.675,16.618,16.735,16.784,7.333,7.332,7.332,3.984,4.76,5.092,295.242,297.804,299.187
2017-10-13 19:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1004.942,16.529,7.249,4.141,285.604,15.735,0,0,0,310.933,15.073,-31.824,0.002,38.847,0.439,10.705,31.726,52.375,1003.721,1001.318,998.822,16.521,16.601,16.638,7.248,7.245,7.243,4.268,5.156,5.515,289.7,290.873,291.537
2017-10-13 20:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1005.199,16.205,7.217,4.192,292.337,15.508,0,0,0,309.467,14.829,-30.982,0,39.822,0.453,10.691,31.686,52.311,1003.972,1001.427,999.14,16.142,16.227,16.272,7.217,7.215,7.213,4.314,5.215,5.596,296.44,296.798,297.212
2017-10-13 20:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1005.469,16.144,7.118,4.864,301.99,15.327,0,0,0,309.386,14.763,-37.522,0,33.04,0.554,10.686,31.67,52.283,1004.243,1001.768,999.344,16.023,16.082,16.11,7.118,7.118,7.117,4.995,6.039,6.48,306.079,306.207,306.292
2017-10-13 21:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1005.749,15.909,7.078,4.611,304.86,15.173,0,0,0,307.515,14.551,-34.718,0,36.481,0.518,10.679,31.648,52.247,1004.444,1001.967,999.54,15.775,15.843,15.874,7.078,7.077,7.076,4.737,5.699,6.107,308.951,309.334,309.415
2017-10-13 21:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1005.845,15.642,7.101,4.258,306.98,14.998,0,0,0,305.655,14.305,-31.039,0,40.629,0.466,10.67,31.62,52.198,1004.622,1002.145,999.718,15.507,15.545,15.577,7.101,7.101,7.1,4.375,5.233,5.619,311.081,310.204,310.015
2017-10-13 22:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1006.152,15.316,7.067,3.87,302.14,14.813,0,0,0,303.867,14.035,-26.391,0,45.578,0.41,10.659,31.588,52.145,1004.786,1002.309,999.881,15.173,15.197,15.225,7.067,7.066,7.065,3.981,4.743,5.084,306.249,305.869,306.101
2017-10-13 22:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1006.06,15.019,7.076,3.915,300.317,14.615,0,0,0,302.137,13.815,-25.567,0,46.894,0.422,10.646,31.551,52.09,1004.849,1002.373,999.945,14.84,14.93,14.993,7.076,7.078,7.079,4.021,4.858,5.263,304.4,304.984,305.516
2017-10-13 23:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1006.202,14.871,7.082,4.071,295.838,14.436,0,0,0,300.961,13.658,-27.116,0,45.636,0.446,10.641,31.536,52.065,1004.962,1002.485,1000.056,14.676,14.766,14.831,7.082,7.083,7.085,4.18,5.035,5.453,299.921,300.909,301.645
2017-10-13 23:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1006.409,14.824,7.039,4.387,300.102,14.287,0,0,0,300.314,13.567,-30.685,0,42.207,0.49,10.64,31.534,52.06,1005.06,1002.584,1000.153,14.619,14.71,14.769,7.039,7.038,7.037,4.501,5.378,5.804,304.205,304.82,305.147
2017-10-14 00:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1006.493,14.708,6.996,4.202,297.6,14.155,0,0,0,299.829,13.422,-29.636,0,42.996,0.46,10.635,31.519,52.034,1005.219,1002.742,1000.313,14.51,14.582,14.626,6.996,6.995,6.995,4.313,5.191,5.582,301.684,302.091,302.63
2017-10-14 00:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1006.195,14.558,7.026,4.726,297.151,14.035,0,0,0,298.777,13.344,-32.642,0,40.556,0.543,10.628,31.497,51.999,1004.954,1002.477,1000.05,14.335,14.416,14.464,7.026,7.025,7.023,4.842,5.835,6.269,301.241,301.434,301.829
2017-10-14 01:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1006.241,14.464,6.99,4.604,296.948,13.925,0,0,0,298.799,13.232,-32.021,0,40.634,0.524,10.623,31.485,51.98,1005.05,1002.573,1000.144,14.243,14.334,14.383,6.99,6.989,6.988,4.717,5.706,6.133,301.047,301.617,302.15
2017-10-14 01:30:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1006.33,14.425,6.928,4.722,297.932,13.833,0,0,0,298.335,13.166,-33.636,0,39.113,0.54,10.621,31.479,51.97,1005.115,1002.638,1000.21,14.202,14.3,14.351,6.928,6.928,6.927,4.836,5.856,6.297,302.014,302.855,303.406
2017-10-14 02:00:00,16.581388,48.1175,183,638451,1031,581,48.115,16.5799,1031.1108,581.278,53,178.81,0.15,0.88,1006.483,14.223,6.904,4.624,296.181,13.739,0,0,0,297.783,13.034,-31.274,0,41.348,0.529,10.614,31.456,51.932,1005.221,1002.742,1000.315,13.974,14.079,14.131,6.904,6.903,6.902,4.735,5.747,6.178,300.275,301.437,302.086
