DateTime,Lon,Lat,Elevation,p,px,py,wrflat,wrflon,px_exact,py_exact,LU_INDEX,HGT,ALBEDO,EMISS,PSFC,T2,Q2,WS10,WD10,TSLB,SNOWH,SWDOWN,SWNORM,GLW,TSK,HFX,LH,GRDFLX,UST,ZHALF_L1,ZHALF_L2,ZHALF_L3,PTOTAL_L1,PTOTAL_L2,PTOTAL_L3,TPOT_L1,TPOT_L2,TPOT_L3,QVAPOR_L1,QVAPOR_L2,QVAPOR_L3,WS_L1,WS_L2,WS_L3,WD_L1,WD_L2,WD_L3
2017-10-13 12:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.1,0.97,993.927,17.749,7.534,3.71,278.367,15.686,0,0,0,0,18.423,0,0,0,0,10.76,31.887,52.634,993.228,990.601,988.028,18.931,18.931,18.931,7.759,7.678,7.598,3.719,3.719,3.719,280.339,280.339,280.339
2017-10-13 12:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.365,17.876,7.538,3.756,273.735,16.916,0,488.34,469.077,310.564,20.633,82.664,0,-217.979,0.614,10.728,31.788,52.461,991.114,988.674,986.279,18.224,18.083,18.02,7.538,7.532,7.525,3.824,4.62,4.998,276.009,276.315,276.558
2017-10-13 13:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.334,18.139,7.558,3.858,274.244,17.76,0,440.665,419.509,311.742,20.798,80.582,0,-178.112,0.623,10.739,31.817,52.51,991.093,988.653,986.256,18.492,18.357,18.298,7.558,7.551,7.543,3.93,4.746,5.145,276.534,276.387,276.354
2017-10-13 13:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.333,18.174,7.492,3.586,283.116,18.328,0,382.624,360.217,311.749,20.67,71.602,0,-137.32,0.585,10.739,31.82,52.516,991.081,988.64,986.246,18.548,18.421,18.366,7.492,7.493,7.493,3.65,4.399,4.757,285.392,285.014,284.75
2017-10-13 14:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.289,18.17,7.437,3.578,278.869,18.607,0,315.76,292.878,310.704,20.233,57.601,0,-95.297,0.569,10.74,31.823,52.52,991.063,988.623,986.227,18.578,18.468,18.42,7.437,7.424,7.413,3.645,4.403,4.766,281.121,281.09,281.074
2017-10-13 14:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.339,18.043,7.556,3.264,279.675,18.637,0,241.415,219.091,310.867,19.57,38.823,0,-54.756,0.512,10.74,31.823,52.522,991.045,988.603,986.21,18.504,18.421,18.384,7.556,7.552,7.547,3.324,3.998,4.321,281.937,282.002,282.051
2017-10-13 15:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.401,17.888,7.63,3.263,276.808,18.437,0,162.69,142.308,310.736,18.674,18.712,0,-13.878,0.479,10.739,31.822,52.523,991.063,988.62,986.226,18.42,18.375,18.355,7.63,7.63,7.628,3.325,3.963,4.265,279.075,279.27,279.468
2017-10-13 15:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.328,17.614,7.562,3.239,279.29,18.032,0,83.997,67.772,309.241,17.586,-0.607,0,26.155,0.423,10.731,31.801,52.493,991.069,988.695,986.165,18.261,18.261,18.263,7.562,7.559,7.557,3.311,3.963,4.272,281.573,282.09,282.454
2017-10-13 16:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.408,17.057,7.316,3.057,277.316,17.444,0,15.149,8.243,307.167,16.387,-11.367,0,61.978,0.336,10.713,31.75,52.411,991.158,988.716,986.321,17.867,17.926,17.957,7.315,7.3,7.291,3.147,3.828,4.125,279.594,280.301,280.791
2017-10-13 16:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.466,16.339,7.446,2.6,290.97,16.804,0,0,0,304.607,15.621,-9.56,0,69.346,0.259,10.692,31.686,52.308,991.192,988.749,986.355,17.194,17.256,17.301,7.447,7.455,7.463,2.682,3.126,3.371,293.246,295.532,296.746
2017-10-13 17:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.522,15.988,7.415,2.71,288.735,16.215,0,0,0,302.046,15.079,-11.909,0,66.644,0.256,10.682,31.659,52.263,991.271,988.826,986.432,16.919,17.01,17.071,7.415,7.405,7.397,2.801,3.304,3.59,290.993,296.19,298.74
2017-10-13 17:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.56,15.464,7.27,2.363,274.741,15.691,0,0,0,301.069,14.536,-9.147,0,67.677,0.191,10.662,31.605,52.185,991.384,988.941,986.546,16.462,16.701,16.864,7.27,7.252,7.231,2.45,3.252,3.528,277.009,283.566,288.235
2017-10-13 18:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.789,15.051,7.237,2.445,288.342,15.213,0,0,0,299.656,14.089,-10.02,0,65.923,0.202,10.649,31.572,52.144,991.473,989.029,986.633,16.043,16.487,16.751,7.237,7.242,7.221,2.532,4.099,4.356,290.618,289.176,289.901
2017-10-13 18:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.7,14.729,7.249,3.223,290.913,14.806,0,0,0,297.78,13.782,-16.081,0,60.069,0.335,10.633,31.516,52.033,991.335,988.891,986.497,15.617,15.751,15.899,7.249,7.249,7.245,3.312,4.005,4.474,293.184,293.38,293.33
2017-10-13 19:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.693,14.291,7.204,3.129,287.203,14.441,0,0,0,296.182,13.4,-14.741,0,61.02,0.325,10.615,31.46,51.938,991.437,988.995,986.6,15.153,15.283,15.405,7.204,7.2,7.192,3.215,3.858,4.308,289.472,290.98,291.655
2017-10-13 19:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,992.743,14.005,7.059,2.937,281.299,14.106,0,0,0,294.865,13.06,-13.983,0,61.341,0.289,10.602,31.423,51.876,991.57,989.125,986.731,14.896,15.01,15.103,7.059,7.052,7.044,3.019,3.556,3.955,283.565,286.483,287.873
2017-10-13 20:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,993.036,13.67,6.992,2.434,270.299,13.785,0,0,0,294.585,12.696,-9.967,0,63.896,0.198,10.593,31.396,51.83,991.76,989.318,986.922,14.648,14.746,14.812,6.991,6.986,6.981,2.514,3.05,3.358,272.552,275.059,276.434
2017-10-13 20:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,993.298,13.312,6.923,2.332,263.58,13.489,0,0,0,294.047,12.396,-8.849,0,64.096,0.186,10.579,31.352,51.757,991.951,989.508,987.111,14.258,14.33,14.374,6.923,6.92,6.918,2.407,2.899,3.185,265.837,269.27,270.711
2017-10-13 21:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,993.51,12.979,6.867,1.73,264.364,13.198,0,0,0,294.324,12.027,-2.329,0,68.647,0.055,10.577,31.347,51.747,992.111,989.67,987.272,14.215,14.279,14.328,6.867,6.866,6.865,1.779,2.137,2.424,266.593,270,271.638
2017-10-13 21:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,993.566,12.961,6.882,1.511,249.896,12.912,0,0,0,294.667,11.756,-1.593,0,67.8,0.036,10.581,31.358,51.764,992.273,989.829,987.433,14.343,14.384,14.408,6.882,6.885,6.888,1.546,1.731,1.905,252.18,257.581,260.667
2017-10-13 22:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,993.664,12.728,6.901,1.655,234.554,12.656,0,0,0,294.724,11.526,-2.005,0,66.274,0.043,10.573,31.338,51.738,992.402,989.955,987.56,14.117,14.271,14.337,6.901,6.902,6.906,1.696,1.72,1.945,236.85,252.442,258.549
2017-10-13 22:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,993.702,12.517,6.893,2.225,257.631,12.429,0,0,0,294.121,11.383,-6.797,0,61.375,0.119,10.557,31.292,51.667,992.494,990.048,987.654,13.696,13.873,14.033,6.893,6.895,6.903,2.305,2.376,2.636,259.912,258.927,262.977
2017-10-13 23:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,993.755,12.508,6.897,2.765,241.748,12.261,0,0,0,293.662,11.336,-14.128,0,54.241,0.234,10.549,31.277,51.657,992.581,990.137,987.74,13.47,13.911,14.133,6.897,6.898,6.9,2.847,2.853,2.867,244.02,253.943,264.548
2017-10-13 23:30:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,993.928,12.298,6.871,2.785,249.702,12.128,0,0,0,293.483,11.206,-13.922,0,54.017,0.247,10.54,31.268,51.669,992.664,990.22,987.822,13.196,14.127,14.489,6.87,6.872,6.865,2.862,3.214,2.742,251.991,257.628,271.526
2017-10-14 00:00:00,14.285277,48.296391,262,650370,861,592,48.3,14.2802,861.3767,591.5987,51,292.8,0.15,0.88,994.023,11.595,6.807,1.903,268.545,11.966,0,0,0,292.059,10.893,-4.874,0,62.901,0.132,10.511,31.165,51.485,992.813,990.367,987.971,12.423,12.912,13.454,6.807,6.815,6.828,1.961,2.544,2.564,270.836,268.921,267.071
